27.02.2025 21:54:50 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:54:50 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:54:50 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:54:50 | FollowMeController | INFO | Машина зарегистрирована. ID: 8debcbb1-bf1e-4a73-9ce8-b7be035f3103
27.02.2025 21:54:50 | FollowMeController | ERROR | Маршрут не найден.
27.02.2025 21:54:50 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:54:50 | FollowMeController | INFO | Машина зарегистрирована. ID: d2c166d9-fe0f-490c-8132-96972d6350e8
27.02.2025 21:54:50 | FollowMeController | INFO | Маршрут получен: node_1 -> node_2
27.02.2025 21:54:50 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:54:50 | FollowMeController | ERROR | Нет доступных машин.
27.02.2025 21:54:50 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:54:50 | FollowMeController | ERROR | Нет доступных машин.
27.02.2025 21:54:50 | FollowMeController | INFO | Ответ отправлен: {"CarId":"d2c166d9-fe0f-490c-8132-96972d6350e8","TimeToWait":10}
27.02.2025 21:54:50 | FollowMeController | INFO | Начало обработки маршрута для машины d2c166d9-fe0f-490c-8132-96972d6350e8.
27.02.2025 21:54:50 | FollowMeController | INFO | Обработка перемещения из node_1 в node_2.
27.02.2025 21:54:50 | FollowMeController | INFO | Запрос на перемещение из node_1 в node_2.
27.02.2025 21:54:50 | FollowMeController | WARNING | Разрешение на движение не получено. Повторная попытка через 5 секунд.
27.02.2025 21:54:50 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:54:50 | FollowMeController | ERROR | Нет доступных машин.
27.02.2025 21:54:50 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:54:50 | FollowMeController | ERROR | Нет доступных машин.
27.02.2025 21:55:11 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:56:26 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:56:26 | FollowMeController | ERROR | Неверный тип FollowType.
27.02.2025 21:56:26 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:56:26 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:56:26 | FollowMeController | INFO | Машина зарегистрирована. ID: 6123e9aa-34af-4430-b8f9-ce8086c6d77d
27.02.2025 21:56:26 | FollowMeController | INFO | Маршрут получен: node_1 -> node_2
27.02.2025 21:56:26 | FollowMeController | INFO | Ответ отправлен: {"CarId":"6123e9aa-34af-4430-b8f9-ce8086c6d77d","TimeToWait":10}
27.02.2025 21:56:26 | FollowMeController | INFO | Начало обработки маршрута для машины 6123e9aa-34af-4430-b8f9-ce8086c6d77d.
27.02.2025 21:56:26 | FollowMeController | INFO | Обработка перемещения из node_1 в node_2.
27.02.2025 21:56:26 | FollowMeController | INFO | Запрос на перемещение из node_1 в node_2.
27.02.2025 21:56:26 | FollowMeController | WARNING | Разрешение на движение не получено. Повторная попытка через 5 секунд.
27.02.2025 21:56:26 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:56:26 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:56:53 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:56:53 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:56:53 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:56:53 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:56:53 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:56:53 | FollowMeController | ERROR | Нет доступных машин.
27.02.2025 21:56:53 | FollowMeController | INFO | Машина зарегистрирована. ID: fbe0ff23-6280-435c-85dc-0bae120420cc
27.02.2025 21:56:53 | FollowMeController | ERROR | Маршрут не найден.
27.02.2025 21:56:53 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:56:53 | FollowMeController | ERROR | Нет доступных машин.
27.02.2025 21:56:53 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:56:53 | FollowMeController | ERROR | Нет доступных машин.
27.02.2025 21:56:59 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:56:59 | FollowMeController | ERROR | Неверный тип FollowType.
27.02.2025 21:56:59 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:56:59 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:56:59 | FollowMeController | INFO | Машина зарегистрирована. ID: a9c1b9f9-0d53-4f00-ab3d-d650088862fc
27.02.2025 21:56:59 | FollowMeController | INFO | Маршрут получен: node_1 -> node_2
27.02.2025 21:56:59 | FollowMeController | INFO | Ответ отправлен: {"CarId":"a9c1b9f9-0d53-4f00-ab3d-d650088862fc","TimeToWait":10}
27.02.2025 21:56:59 | FollowMeController | INFO | Начало обработки маршрута для машины a9c1b9f9-0d53-4f00-ab3d-d650088862fc.
27.02.2025 21:56:59 | FollowMeController | INFO | Обработка перемещения из node_1 в node_2.
27.02.2025 21:56:59 | FollowMeController | INFO | Запрос на перемещение из node_1 в node_2.
27.02.2025 21:56:59 | FollowMeController | WARNING | Разрешение на движение не получено. Повторная попытка через 5 секунд.
27.02.2025 21:56:59 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:56:59 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:57:03 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:57:03 | FollowMeController | ERROR | Неверный тип FollowType.
27.02.2025 21:57:03 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:57:03 | FollowMeController | INFO | Запрос на получение машины сопровождения.
27.02.2025 21:57:04 | FollowMeController | INFO | Машина зарегистрирована. ID: b12da63d-803a-41da-a31d-8445e584111b
27.02.2025 21:57:04 | FollowMeController | INFO | Маршрут получен: node_1 -> node_2
27.02.2025 21:57:04 | FollowMeController | INFO | Ответ отправлен: {"CarId":"b12da63d-803a-41da-a31d-8445e584111b","TimeToWait":10}
